Region,Work_load,primary_key,Work_1989
111160322: União das freguesias de Prado e Remoães,Mão-de-obra agrícola total,111160322: União das freguesias de Prado e RemoãesMão-de-obra agrícola total,72
,Mão-de-obra agrícola familiar,,62
,Produtor,,36
,Cônjuge,,21
,Outros membros da família,,6
,Mão-de-obra agrícola não familiar,,10
,Permanente,,5
,Eventual,,4
,Mão-de-obra não contratada pelo produtor,,0
111160323: União das freguesias de Vila e Roussas,Mão-de-obra agrícola total,111160323: União das freguesias de Vila e RoussasMão-de-obra agrícola total,90
,Mão-de-obra agrícola familiar,,81
,Produtor,,43
,Cônjuge,,24
,Outros membros da família,,14
,Mão-de-obra agrícola não familiar,,9
,Permanente,,2
,Eventual,,6
,Mão-de-obra não contratada pelo produtor,,1
1111604: Monção,Mão-de-obra agrícola total,1111604: MonçãoMão-de-obra agrícola total,1984
,Mão-de-obra agrícola familiar,,1744
,Produtor,,919
,Cônjuge,,501
,Outros membros da família,,324
,Mão-de-obra agrícola não familiar,,241
,Permanente,,118
,Eventual,,110
,Mão-de-obra não contratada pelo produtor,,12
111160401: Abedim,Mão-de-obra agrícola total,111160401: AbedimMão-de-obra agrícola total,58
,Mão-de-obra agrícola familiar,,57
,Produtor,,30
,Cônjuge,,20
,Outros membros da família,,7
,Mão-de-obra agrícola não familiar,,1
,Permanente,,0
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160404: Barbeita,Mão-de-obra agrícola total,111160404: BarbeitaMão-de-obra agrícola total,80
,Mão-de-obra agrícola familiar,,70
,Produtor,,36
,Cônjuge,,18
,Outros membros da família,,15
,Mão-de-obra agrícola não familiar,,10
,Permanente,,2
,Eventual,,8
,Mão-de-obra não contratada pelo produtor,,0
111160405: Barroças e Taias,Mão-de-obra agrícola total,111160405: Barroças e TaiasMão-de-obra agrícola total,51
,Mão-de-obra agrícola familiar,,50
,Produtor,,23
,Cônjuge,,18
,Outros membros da família,,10
,Mão-de-obra agrícola não familiar,,1
,Permanente,,0
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160406: Bela,Mão-de-obra agrícola total,111160406: BelaMão-de-obra agrícola total,61
,Mão-de-obra agrícola familiar,,54
,Produtor,,25
,Cônjuge,,17
,Outros membros da família,,13
,Mão-de-obra agrícola não familiar,,7
,Permanente,,3
,Eventual,,4
,Mão-de-obra não contratada pelo produtor,,0
111160407: Cambeses,Mão-de-obra agrícola total,111160407: CambesesMão-de-obra agrícola total,43
,Mão-de-obra agrícola familiar,,35
,Produtor,,24
,Cônjuge,,8
,Outros membros da família,,3
,Mão-de-obra agrícola não familiar,,8
,Permanente,,3
,Eventual,,3
,Mão-de-obra não contratada pelo produtor,,2
111160410: Lara,Mão-de-obra agrícola total,111160410: LaraMão-de-obra agrícola total,61
,Mão-de-obra agrícola familiar,,55
,Produtor,,29
,Cônjuge,,18
,Outros membros da família,,9
,Mão-de-obra agrícola não familiar,,6
,Permanente,,1
,Eventual,,5
,Mão-de-obra não contratada pelo produtor,,0
111160411: Longos Vales,Mão-de-obra agrícola total,111160411: Longos ValesMão-de-obra agrícola total,166
,Mão-de-obra agrícola familiar,,145
,Produtor,,77
,Cônjuge,,42
,Outros membros da família,,26
,Mão-de-obra agrícola não familiar,,21
,Permanente,,15
,Eventual,,6
,Mão-de-obra não contratada pelo produtor,,0
111160415: Merufe,Mão-de-obra agrícola total,111160415: MerufeMão-de-obra agrícola total,180
,Mão-de-obra agrícola familiar,,166
,Produtor,,80
,Cônjuge,,42
,Outros membros da família,,44
