primary_key,codes,Perm_crop,year,Nr
5365,111160911,Industrial crops,1989,
5366,111160911,Industrial crops,1999,
5367,111160911,Industrial crops,2009,
5368,111160911,Industrial crops,2019,
5369,111160911,Fresh vegetables,1989,28
5370,111160911,Fresh vegetables,1999,2
5371,111160911,Fresh vegetables,2009,
5372,111160911,Fresh vegetables,2019,2
5373,111160911,Other temporary crops,1989,30
5374,111160911,Other temporary crops,1999,4
5375,111160911,Other temporary crops,2009,
5376,111160911,Other temporary crops,2019,
5377,111160914,Total,1989,90
5378,111160914,Total,1999,49
5379,111160914,Total,2009,35
5380,111160914,Total,2019,34
5381,111160914,Cereals,1989,88
5382,111160914,Cereals,1999,45
5383,111160914,Cereals,2009,33
5384,111160914,Cereals,2019,31
5385,111160914,Dried pulses,1989,83
5386,111160914,Dried pulses,1999,29
5387,111160914,Dried pulses,2009,12
5388,111160914,Dried pulses,2019,3
5389,111160914,Potatoes,1989,89
5390,111160914,Potatoes,1999,46
5391,111160914,Potatoes,2009,25
5392,111160914,Potatoes,2019,17
5393,111160914,Industrial crops,1989,
5394,111160914,Industrial crops,1999,
5395,111160914,Industrial crops,2009,
5396,111160914,Industrial crops,2019,
5397,111160914,Fresh vegetables,1989,2
5398,111160914,Fresh vegetables,1999,2
5399,111160914,Fresh vegetables,2009,
5400,111160914,Fresh vegetables,2019,3
5401,111160914,Other temporary crops,1989,74
5402,111160914,Other temporary crops,1999,39
5403,111160914,Other temporary crops,2009,2
5404,111160914,Other temporary crops,2019,
5405,111160915,Total,1989,175
5406,111160915,Total,1999,104
5407,111160915,Total,2009,68
5408,111160915,Total,2019,44
5409,111160915,Cereals,1989,161
5410,111160915,Cereals,1999,94
5411,111160915,Cereals,2009,55
5412,111160915,Cereals,2019,40
5413,111160915,Dried pulses,1989,104
5414,111160915,Dried pulses,1999,16
5415,111160915,Dried pulses,2009,7
5416,111160915,Dried pulses,2019,1
5417,111160915,Potatoes,1989,136
5418,111160915,Potatoes,1999,56
5419,111160915,Potatoes,2009,58
5420,111160915,Potatoes,2019,5
5421,111160915,Industrial crops,1989,
5422,111160915,Industrial crops,1999,
5423,111160915,Industrial crops,2009,
5424,111160915,Industrial crops,2019,
5425,111160915,Fresh vegetables,1989,46
5426,111160915,Fresh vegetables,1999,2
5427,111160915,Fresh vegetables,2009,2
5428,111160915,Fresh vegetables,2019,1
5429,111160915,Other temporary crops,1989,150
5430,111160915,Other temporary crops,1999,68
5431,111160915,Other temporary crops,2009,10
5432,111160915,Other temporary crops,2019,
5433,111160920,Total,1989,151
5434,111160920,Total,1999,101
5435,111160920,Total,2009,51
5436,111160920,Total,2019,46
5437,111160920,Cereals,1989,149
5438,111160920,Cereals,1999,100
5439,111160920,Cereals,2009,47
5440,111160920,Cereals,2019,42
5441,111160920,Dried pulses,1989,143
5442,111160920,Dried pulses,1999,61
5443,111160920,Dried pulses,2009,13
5444,111160920,Dried pulses,2019,30
5445,111160920,Potatoes,1989,139
5446,111160920,Potatoes,1999,93
5447,111160920,Potatoes,2009,48
5448,111160920,Potatoes,2019,32
5449,111160920,Industrial crops,1989,
5450,111160920,Industrial crops,1999,
5451,111160920,Industrial crops,2009,
5452,111160920,Industrial crops,2019,
5453,111160920,Fresh vegetables,1989,11
5454,111160920,Fresh vegetables,1999,1
5455,111160920,Fresh vegetables,2009,
5456,111160920,Fresh vegetables,2019,
5457,111160920,Other temporary crops,1989,82
5458,111160920,Other temporary crops,1999,67
5459,111160920,Other temporary crops,2009,6
5460,111160920,Other temporary crops,2019,
5461,111160922,Total,1989,56
5462,111160922,Total,1999,28
5463,111160922,Total,2009,24
5464,111160922,Total,2019,24
5465,111160922,Cereals,1989,52
5466,111160922,Cereals,1999,25
5467,111160922,Cereals,2009,19
5468,111160922,Cereals,2019,15
5469,111160922,Dried pulses,1989,48
5470,111160922,Dried pulses,1999,13
5471,111160922,Dried pulses,2009,8
5472,111160922,Dried pulses,2019,1
5473,111160922,Potatoes,1989,54
5474,111160922,Potatoes,1999,26
5475,111160922,Potatoes,2009,15
5476,111160922,Potatoes,2019,9
5477,111160922,Industrial crops,1989,
5478,111160922,Industrial crops,1999,
5479,111160922,Industrial crops,2009,
5480,111160922,Industrial crops,2019,
5481,111160922,Fresh vegetables,1989,6
5482,111160922,Fresh vegetables,1999,
5483,111160922,Fresh vegetables,2009,2
5484,111160922,Fresh vegetables,2019,3
5485,111160922,Other temporary crops,1989,29
5486,111160922,Other temporary crops,1999,6
5487,111160922,Other temporary crops,2009,
5488,111160922,Other temporary crops,2019,1
5489,111160925,Total,1989,182
5490,111160925,Total,1999,107
5491,111160925,Total,2009,100
5492,111160925,Total,2019,35
5493,111160925,Cereals,1989,175
5494,111160925,Cereals,1999,100
5495,111160925,Cereals,2009,87
5496,111160925,Cereals,2019,30
5497,111160925,Dried pulses,1989,176
5498,111160925,Dried pulses,1999,24
5499,111160925,Dried pulses,2009,14
5500,111160925,Dried pulses,2019,4
5501,111160925,Potatoes,1989,181
5502,111160925,Potatoes,1999,82
5503,111160925,Potatoes,2009,88
5504,111160925,Potatoes,2019,18
5505,111160925,Industrial crops,1989,1
5506,111160925,Industrial crops,1999,
5507,111160925,Industrial crops,2009,
5508,111160925,Industrial crops,2019,
5509,111160925,Fresh vegetables,1989,79
5510,111160925,Fresh vegetables,1999,5
5511,111160925,Fresh vegetables,2009,
5512,111160925,Fresh vegetables,2019,4
5513,111160925,Other temporary crops,1989,139
5514,111160925,Other temporary crops,1999,10
5515,111160925,Other temporary crops,2009,
5516,111160925,Other temporary crops,2019,
5517,111160926,Total,1989,158
5518,111160926,Total,1999,97
5519,111160926,Total,2009,81
5520,111160926,Total,2019,78
5521,111160926,Cereals,1989,151
5522,111160926,Cereals,1999,57
5523,111160926,Cereals,2009,56
5524,111160926,Cereals,2019,70
5525,111160926,Dried pulses,1989,149
5526,111160926,Dried pulses,1999,16
5527,111160926,Dried pulses,2009,13
5528,111160926,Dried pulses,2019,10
5529,111160926,Potatoes,1989,155
5530,111160926,Potatoes,1999,86
5531,111160926,Potatoes,2009,46
5532,111160926,Potatoes,2019,65
5533,111160926,Industrial crops,1989,
5534,111160926,Industrial crops,1999,
5535,111160926,Industrial crops,2009,
5536,111160926,Industrial crops,2019,
5537,111160926,Fresh vegetables,1989,3
5538,111160926,Fresh vegetables,1999,6
5539,111160926,Fresh vegetables,2009,10
5540,111160926,Fresh vegetables,2019,3
5541,111160926,Other temporary crops,1989,152
5542,111160926,Other temporary crops,1999,66
5543,111160926,Other temporary crops,2009,
5544,111160926,Other temporary crops,2019,
5545,111160928,Total,1989,176
5546,111160928,Total,1999,109
5547,111160928,Total,2009,60
5548,111160928,Total,2019,55
5549,111160928,Cereals,1989,157
5550,111160928,Cereals,1999,90
5551,111160928,Cereals,2009,56
5552,111160928,Cereals,2019,44
5553,111160928,Dried pulses,1989,131
5554,111160928,Dried pulses,1999,42
5555,111160928,Dried pulses,2009,11
5556,111160928,Dried pulses,2019,7
5557,111160928,Potatoes,1989,169
5558,111160928,Potatoes,1999,105
5559,111160928,Potatoes,2009,7
5560,111160928,Potatoes,2019,28
5561,111160928,Industrial crops,1989,
5562,111160928,Industrial crops,1999,
5563,111160928,Industrial crops,2009,
5564,111160928,Industrial crops,2019,
5565,111160928,Fresh vegetables,1989,57
5566,111160928,Fresh vegetables,1999,52
5567,111160928,Fresh vegetables,2009,5
5568,111160928,Fresh vegetables,2019,2
5569,111160928,Other temporary crops,1989,117
5570,111160928,Other temporary crops,1999,73
5571,111160928,Other temporary crops,2009,
5572,111160928,Other temporary crops,2019,
5573,111160923,Total,1989,129
5574,111160923,Total,1999,37
5575,111160923,Total,2009,26
5576,111160923,Total,2019,27
5577,111160923,Cereals,1989,113
