primary_key,codes,age,year,No
51898,16E061204,35 - 44 years,1999,10
51899,16E061204,35 - 44 years,2009,4
51900,16E061204,35 - 44 years,2019,4
51901,16E061204,45 - 54 years,1989,90
51902,16E061204,45 - 54 years,1999,39
51903,16E061204,45 - 54 years,2009,14
51904,16E061204,45 - 54 years,2019,3
51905,16E061204,55 - 64 years,1989,74
51906,16E061204,55 - 64 years,1999,42
51907,16E061204,55 - 64 years,2009,48
51908,16E061204,55 - 64 years,2019,29
51909,16E061204,65 and more years,1989,97
51910,16E061204,65 and more years,1999,48
51911,16E061204,65 and more years,2009,81
51912,16E061204,65 and more years,2019,74
51913,16E061206,Total,1989,269
51914,16E061206,Total,1999,143
51915,16E061206,Total,2009,158
51916,16E061206,Total,2019,154
51917,16E061206,16 - 24 years,1989,6
51918,16E061206,16 - 24 years,1999,11
51919,16E061206,16 - 24 years,2009,11
51920,16E061206,16 - 24 years,2019,19
51921,16E061206,25 - 34 years,1989,7
51922,16E061206,25 - 34 years,1999,4
51923,16E061206,25 - 34 years,2009,2
51924,16E061206,25 - 34 years,2019,7
51925,16E061206,35 - 44 years,1989,9
51926,16E061206,35 - 44 years,1999,2
51927,16E061206,35 - 44 years,2009,22
51928,16E061206,35 - 44 years,2019,18
51929,16E061206,45 - 54 years,1989,41
51930,16E061206,45 - 54 years,1999,9
51931,16E061206,45 - 54 years,2009,17
51932,16E061206,45 - 54 years,2019,21
51933,16E061206,55 - 64 years,1989,88
51934,16E061206,55 - 64 years,1999,37
51935,16E061206,55 - 64 years,2009,12
51936,16E061206,55 - 64 years,2019,28
51937,16E061206,65 and more years,1989,118
51938,16E061206,65 and more years,1999,80
51939,16E061206,65 and more years,2009,94
51940,16E061206,65 and more years,2019,61
51941,16E061207,Total,1989,129
51942,16E061207,Total,1999,60
51943,16E061207,Total,2009,23
51944,16E061207,Total,2019,21
51945,16E061207,16 - 24 years,1989,6
51946,16E061207,16 - 24 years,1999,9
51947,16E061207,16 - 24 years,2009,2
51948,16E061207,16 - 24 years,2019,2
51949,16E061207,25 - 34 years,1989,11
51950,16E061207,25 - 34 years,1999,3
51951,16E061207,25 - 34 years,2009,3
51952,16E061207,25 - 34 years,2019,1
51953,16E061207,35 - 44 years,1989,9
51954,16E061207,35 - 44 years,1999,8
51955,16E061207,35 - 44 years,2009,1
51956,16E061207,35 - 44 years,2019,3
51957,16E061207,45 - 54 years,1989,28
51958,16E061207,45 - 54 years,1999,3
51959,16E061207,45 - 54 years,2009,5
51960,16E061207,45 - 54 years,2019,3
51961,16E061207,55 - 64 years,1989,30
51962,16E061207,55 - 64 years,1999,15
51963,16E061207,55 - 64 years,2009,3
51964,16E061207,55 - 64 years,2019,4
51965,16E061207,65 and more years,1989,45
51966,16E061207,65 and more years,1999,22
51967,16E061207,65 and more years,2009,9
51968,16E061207,65 and more years,2019,8
51969,16E061212,Total,1989,187
51970,16E061212,Total,1999,95
51971,16E061212,Total,2009,198
51972,16E061212,Total,2019,108
51973,16E061212,16 - 24 years,1989,17
51974,16E061212,16 - 24 years,1999,12
51975,16E061212,16 - 24 years,2009,3
51976,16E061212,16 - 24 years,2019,7
51977,16E061212,25 - 34 years,1989,10
51978,16E061212,25 - 34 years,1999,7
51979,16E061212,25 - 34 years,2009,3
51980,16E061212,25 - 34 years,2019,1
51981,16E061212,35 - 44 years,1989,15
51982,16E061212,35 - 44 years,1999,3
51983,16E061212,35 - 44 years,2009,12
51984,16E061212,35 - 44 years,2019,7
51985,16E061212,45 - 54 years,1989,29
51986,16E061212,45 - 54 years,1999,12
51987,16E061212,45 - 54 years,2009,11
51988,16E061212,45 - 54 years,2019,5
51989,16E061212,55 - 64 years,1989,53
51990,16E061212,55 - 64 years,1999,28
51991,16E061212,55 - 64 years,2009,32
51992,16E061212,55 - 64 years,2019,11
51993,16E061212,65 and more years,1989,63
51994,16E061212,65 and more years,1999,33
51995,16E061212,65 and more years,2009,137
51996,16E061212,65 and more years,2019,77
51997,16E061209,Total,1989,288
51998,16E061209,Total,1999,185
51999,16E061209,Total,2009,136
52000,16E061209,Total,2019,111
52001,16E061209,16 - 24 years,1989,79
52002,16E061209,16 - 24 years,1999,38
52003,16E061209,16 - 24 years,2009,4
52004,16E061209,16 - 24 years,2019,5
52005,16E061209,25 - 34 years,1989,24
52006,16E061209,25 - 34 years,1999,10
52007,16E061209,25 - 34 years,2009,14
52008,16E061209,25 - 34 years,2019,5
52009,16E061209,35 - 44 years,1989,36
52010,16E061209,35 - 44 years,1999,16
52011,16E061209,35 - 44 years,2009,7
52012,16E061209,35 - 44 years,2019,10
52013,16E061209,45 - 54 years,1989,55
52014,16E061209,45 - 54 years,1999,42
52015,16E061209,45 - 54 years,2009,19
52016,16E061209,45 - 54 years,2019,13
52017,16E061209,55 - 64 years,1989,58
52018,16E061209,55 - 64 years,1999,33
52019,16E061209,55 - 64 years,2009,41
52020,16E061209,55 - 64 years,2019,19
52021,16E061209,65 and more years,1989,36
52022,16E061209,65 and more years,1999,46
52023,16E061209,65 and more years,2009,51
52024,16E061209,65 and more years,2019,59
52025,16E0613,Total,1989,5018
52026,16E0613,Total,1999,2608
52027,16E0613,Total,2009,1891
52028,16E0613,Total,2019,1797
52029,16E0613,16 - 24 years,1989,1580
52030,16E0613,16 - 24 years,1999,541
52031,16E0613,16 - 24 years,2009,245
52032,16E0613,16 - 24 years,2019,222
52033,16E0613,25 - 34 years,1989,454
