primary_key,codes,Livestock,year,No_und
534,111160122,Poultry,1999,856
535,111160122,Poultry,2009,677
536,111160122,Poultry,2019,494
537,111160122,Rabbits,1989,43
538,111160122,Rabbits,1999,139
539,111160122,Rabbits,2009,201
540,111160122,Rabbits,2019,27
541,111160122,Inhabited hives and traditional cork hives,1989,7
542,111160122,Inhabited hives and traditional cork hives,1999,
543,111160122,Inhabited hives and traditional cork hives,2009,1
544,111160122,Inhabited hives and traditional cork hives,2019,
545,111160123,Cattle,1989,107
546,111160123,Cattle,1999,68
547,111160123,Cattle,2009,44
548,111160123,Cattle,2019,24
549,111160123,Pigs,1989,27
550,111160123,Pigs,1999,4
551,111160123,Pigs,2009,17
552,111160123,Pigs,2019,8
553,111160123,Sheep,1989,40
554,111160123,Sheep,1999,67
555,111160123,Sheep,2009,85
556,111160123,Sheep,2019,66
557,111160123,Goats,1989,3
558,111160123,Goats,1999,9
559,111160123,Goats,2009,24
560,111160123,Goats,2019,16
561,111160123,Equidae,1989,1
562,111160123,Equidae,1999,3
563,111160123,Equidae,2009,3
564,111160123,Equidae,2019,15
565,111160123,Poultry,1989,796
566,111160123,Poultry,1999,685
567,111160123,Poultry,2009,774
568,111160123,Poultry,2019,397
569,111160123,Rabbits,1989,32
570,111160123,Rabbits,1999,2295
571,111160123,Rabbits,2009,927
572,111160123,Rabbits,2019,49
573,111160123,Inhabited hives and traditional cork hives,1989,2
574,111160123,Inhabited hives and traditional cork hives,1999,
575,111160123,Inhabited hives and traditional cork hives,2009,
576,111160123,Inhabited hives and traditional cork hives,2019,176
577,111160124,Cattle,1989,168
578,111160124,Cattle,1999,127
579,111160124,Cattle,2009,77
580,111160124,Cattle,2019,144
581,111160124,Pigs,1989,8
582,111160124,Pigs,1999,12
583,111160124,Pigs,2009,7
584,111160124,Pigs,2019,
585,111160124,Sheep,1989,25
586,111160124,Sheep,1999,81
587,111160124,Sheep,2009,93
588,111160124,Sheep,2019,192
589,111160124,Goats,1989,1
590,111160124,Goats,1999,57
591,111160124,Goats,2009,20
592,111160124,Goats,2019,10
593,111160124,Equidae,1989,
594,111160124,Equidae,1999,4
595,111160124,Equidae,2009,17
596,111160124,Equidae,2019,1
597,111160124,Poultry,1989,1118
598,111160124,Poultry,1999,868
599,111160124,Poultry,2009,489
600,111160124,Poultry,2019,315
601,111160124,Rabbits,1989,34
602,111160124,Rabbits,1999,107
603,111160124,Rabbits,2009,157
604,111160124,Rabbits,2019,
605,111160124,Inhabited hives and traditional cork hives,1989,4
606,111160124,Inhabited hives and traditional cork hives,1999,19
607,111160124,Inhabited hives and traditional cork hives,2009,1
608,111160124,Inhabited hives and traditional cork hives,2019,90
609,111160125,Cattle,1989,174
610,111160125,Cattle,1999,153
611,111160125,Cattle,2009,80
612,111160125,Cattle,2019,246
613,111160125,Pigs,1989,88
614,111160125,Pigs,1999,16
615,111160125,Pigs,2009,4
616,111160125,Pigs,2019,
617,111160125,Sheep,1989,195
618,111160125,Sheep,1999,205
619,111160125,Sheep,2009,232
620,111160125,Sheep,2019,105
621,111160125,Goats,1989,122
622,111160125,Goats,1999,18
623,111160125,Goats,2009,25
624,111160125,Goats,2019,15
625,111160125,Equidae,1989,1
626,111160125,Equidae,1999,
627,111160125,Equidae,2009,1
628,111160125,Equidae,2019,2
629,111160125,Poultry,1989,1046
630,111160125,Poultry,1999,672
631,111160125,Poultry,2009,490
632,111160125,Poultry,2019,285
633,111160125,Rabbits,1989,150
634,111160125,Rabbits,1999,94
635,111160125,Rabbits,2009,164
636,111160125,Rabbits,2019,17
637,111160125,Inhabited hives and traditional cork hives,1989,35
638,111160125,Inhabited hives and traditional cork hives,1999,6
639,111160125,Inhabited hives and traditional cork hives,2009,36
640,111160125,Inhabited hives and traditional cork hives,2019,25
641,111160128,Cattle,1989,186
642,111160128,Cattle,1999,204
643,111160128,Cattle,2009,154
644,111160128,Cattle,2019,134
645,111160128,Pigs,1989,31
646,111160128,Pigs,1999,19
647,111160128,Pigs,2009,15
648,111160128,Pigs,2019,26
649,111160128,Sheep,1989,108
650,111160128,Sheep,1999,92
651,111160128,Sheep,2009,94
652,111160128,Sheep,2019,396
653,111160128,Goats,1989,10
654,111160128,Goats,1999,82
655,111160128,Goats,2009,51
656,111160128,Goats,2019,113
657,111160128,Equidae,1989,3
658,111160128,Equidae,1999,10
659,111160128,Equidae,2009,9
660,111160128,Equidae,2019,13
661,111160128,Poultry,1989,1389
662,111160128,Poultry,1999,1185
663,111160128,Poultry,2009,594
664,111160128,Poultry,2019,694
665,111160128,Rabbits,1989,122
666,111160128,Rabbits,1999,97
667,111160128,Rabbits,2009,182
668,111160128,Rabbits,2019,88
669,111160128,Inhabited hives and traditional cork hives,1989,42
670,111160128,Inhabited hives and traditional cork hives,1999,
671,111160128,Inhabited hives and traditional cork hives,2009,1
672,111160128,Inhabited hives and traditional cork hives,2019,
673,111160131,Cattle,1989,178
674,111160131,Cattle,1999,111
675,111160131,Cattle,2009,53
676,111160131,Cattle,2019,92
677,111160131,Pigs,1989,60
678,111160131,Pigs,1999,17
679,111160131,Pigs,2009,8
680,111160131,Pigs,2019,5
681,111160131,Sheep,1989,203
682,111160131,Sheep,1999,169
683,111160131,Sheep,2009,135
684,111160131,Sheep,2019,105
685,111160131,Goats,1989,45
686,111160131,Goats,1999,10
687,111160131,Goats,2009,5
688,111160131,Goats,2019,24
689,111160131,Equidae,1989,
690,111160131,Equidae,1999,25
691,111160131,Equidae,2009,
692,111160131,Equidae,2019,3
693,111160131,Poultry,1989,1734
694,111160131,Poultry,1999,1084
695,111160131,Poultry,2009,504
696,111160131,Poultry,2019,568
697,111160131,Rabbits,1989,104
