primary_key,codes,legal_form,year,area_ha
362,111160130,Fallow land comissions,1999,312
363,111160130,Fallow land comissions,2009,243
364,111160130,Fallow land comissions,2019,250
365,111160130,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
366,111160130,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
367,111160130,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
368,111160130,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
369,111160133,Natural person (sole holder),1989,236
370,111160133,Natural person (sole holder),1999,143
371,111160133,Natural person (sole holder),2009,103
372,111160133,Natural person (sole holder),2019,70
373,111160133,Group of natural persons (group holding),1989,
374,111160133,Group of natural persons (group holding),1999,
375,111160133,Group of natural persons (group holding),2009,
376,111160133,Group of natural persons (group holding),2019,
377,111160133,Fallow land comissions,1989,33
378,111160133,Fallow land comissions,1999,58
379,111160133,Fallow land comissions,2009,120
380,111160133,Fallow land comissions,2019,77
381,111160133,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
382,111160133,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
383,111160133,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
384,111160133,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
385,111160144,Natural person (sole holder),1989,151
386,111160144,Natural person (sole holder),1999,122
387,111160144,Natural person (sole holder),2009,91
388,111160144,Natural person (sole holder),2019,45
389,111160144,Group of natural persons (group holding),1989,
390,111160144,Group of natural persons (group holding),1999,
391,111160144,Group of natural persons (group holding),2009,
392,111160144,Group of natural persons (group holding),2019,
393,111160144,Fallow land comissions,1989,22
394,111160144,Fallow land comissions,1999,144
395,111160144,Fallow land comissions,2009,150
396,111160144,Fallow land comissions,2019,38
397,111160144,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
398,111160144,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
399,111160144,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
400,111160144,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
401,111160145,Natural person (sole holder),1989,198
402,111160145,Natural person (sole holder),1999,354
403,111160145,Natural person (sole holder),2009,151
404,111160145,Natural person (sole holder),2019,138
405,111160145,Group of natural persons (group holding),1989,
406,111160145,Group of natural persons (group holding),1999,
407,111160145,Group of natural persons (group holding),2009,
408,111160145,Group of natural persons (group holding),2019,
409,111160145,Fallow land comissions,1989,13
410,111160145,Fallow land comissions,1999,1004
411,111160145,Fallow land comissions,2009,2600
412,111160145,Fallow land comissions,2019,1796
413,111160145,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
414,111160145,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
415,111160145,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
416,111160145,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
417,111160146,Natural person (sole holder),1989,601
418,111160146,Natural person (sole holder),1999,403
419,111160146,Natural person (sole holder),2009,177
420,111160146,Natural person (sole holder),2019,213
421,111160146,Group of natural persons (group holding),1989,
422,111160146,Group of natural persons (group holding),1999,
423,111160146,Group of natural persons (group holding),2009,
424,111160146,Group of natural persons (group holding),2019,1
425,111160146,Fallow land comissions,1989,120
426,111160146,Fallow land comissions,1999,2400
427,111160146,Fallow land comissions,2009,3693
428,111160146,Fallow land comissions,2019,3358
429,111160146,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
430,111160146,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
431,111160146,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
432,111160146,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
433,111160152,Natural person (sole holder),1989,241
434,111160152,Natural person (sole holder),1999,164
435,111160152,Natural person (sole holder),2009,89
436,111160152,Natural person (sole holder),2019,91
437,111160152,Group of natural persons (group holding),1989,
438,111160152,Group of natural persons (group holding),1999,
439,111160152,Group of natural persons (group holding),2009,
440,111160152,Group of natural persons (group holding),2019,2
441,111160152,Fallow land comissions,1989,20
442,111160152,Fallow land comissions,1999,338
443,111160152,Fallow land comissions,2009,423
444,111160152,Fallow land comissions,2019,621
445,111160152,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
446,111160152,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
447,111160152,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
448,111160152,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,
449,111160154,Natural person (sole holder),1989,109
450,111160154,Natural person (sole holder),1999,68
451,111160154,Natural person (sole holder),2009,42
452,111160154,Natural person (sole holder),2019,65
453,111160154,Group of natural persons (group holding),1989,3
454,111160154,Group of natural persons (group holding),1999,
455,111160154,Group of natural persons (group holding),2009,
456,111160154,Group of natural persons (group holding),2019,3
457,111160154,Fallow land comissions,1989,12
458,111160154,Fallow land comissions,1999,3
459,111160154,Fallow land comissions,2009,29
460,111160154,Fallow land comissions,2019,18
461,111160154,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,1
462,111160154,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,3
463,111160154,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,
464,111160154,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,3
465,111160153,Natural person (sole holder),1989,186
466,111160153,Natural person (sole holder),1999,136
467,111160153,Natural person (sole holder),2009,108
468,111160153,Natural person (sole holder),2019,107
469,111160153,Group of natural persons (group holding),1989,
470,111160153,Group of natural persons (group holding),1999,8
471,111160153,Group of natural persons (group holding),2009,10
472,111160153,Group of natural persons (group holding),2019,12
473,111160153,Fallow land comissions,1989,12
474,111160153,Fallow land comissions,1999,9
475,111160153,Fallow land comissions,2009,
476,111160153,Fallow land comissions,2019,15
477,111160153,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,
478,111160153,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,
