
Statistical table extracted on October 11, 2022 (17:22:02)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;
;;Sex;;;
;;MF;M;F;
;;Age group;;;
;;Total;;;
;;Relationship;;;
;;Total;;;
;;Level of education;;;
;;Total;;;
;;No. ;No. ;No. ;
;112031019: União das freguesias de Chorense e Monte;578;279;299;
;112031020: União das freguesias de Cibões e Brufe;510;243;267;
;112031015: Valdosende;332;166;166;
;112031017: Vilar da Veiga;360;177;183;
;1120313: Vila Verde;17394;8410;8984;
;112031359: Aboim da Nóbrega e Gondomar;979;441;538;
;112031304: Atiães;281;140;141;
;112031308: Cabanelas;315;162;153;
;112031309: Cervães;629;306;323;
;112031311: Coucieiro;235;110;125;
;112031313: Dossãos;302;145;157;
;112031316: Freiriz;501;244;257;
;112031317: Gême;226;118;108;
;112031323: Lage;495;255;240;
;112031324: Lanhas;152;63;89;
;112031325: Loureira;249;136;113;
;112031328: Moure;485;229;256;
;112031330: Oleiros;241;114;127;
;112031331: Parada de Gatim;276;125;151;
;112031335: Pico;310;151;159;
;112031337: Ponte;155;68;87;
;112031350: Prado (São Miguel);427;221;206;
;112031340: Sabariz;78;40;38;
;112031352: Soutelo;485;237;248;
;112031354: Turiz;379;186;193;
;112031360: União das freguesias da Ribeira do Neiva;2730;1293;1437;
;112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);514;250;264;
;112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);471;219;252;
;112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;413;183;230;
;112031364: União das freguesias de Marrancos e Arcozelo;422;197;225;
;112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);418;211;207;
;112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;897;446;451;
;112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;842;429;413;
;112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);418;210;208;
