
Statistical table extracted on October 15, 2022 (13:03:14)
http://www.ine.pt



Geographic localization (NUTS -2013);Tractors by agricultural holding (No.) by Geographic localization (NUTS -2013) -  Decennial (1) ;
;Data reference period;
;2009;
;No. ;
119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;0,8;
119031252: União das freguesias de Avidos e Lagoa;0,9;
119031253: União das freguesias de Carreira e Bente;0,9;
119031254: União das freguesias de Esmeriz e Cabeçudos;1,1;
119031255: União das freguesias de Gondifelos, Cavalões e Outiz;1,5;
119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;1,2;
119031257: União das freguesias de Ruivães e Novais;0,8;
119031258: União das freguesias de Seide;0,9;
119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;0,9;
119031260: União das freguesias de Vila Nova de Famalicão e Calendário;1;
119031241: Vale (São Martinho);1,3;
119031247: Vermoim;0,8;
119031249: Vilarinho das Cambas;1,4;
1190314: Vizela;0,7;
119031404: Infias;1;
119031401: Santa Eulália;0,8;
119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);0,6;
119031409: União das freguesias de Tagilde e Vizela (São Paio);0,6;
119031406: Vizela (Santo Adrião);0,8;
11A: Área Metropolitana do Porto;1;
11A0104: Arouca;0,6;
11A010402: Alvarenga;0,4;
11A010407: Chave;1;
11A010409: Escariz;1,2;
11A010411: Fermedo;0,8;
11A010413: Mansores;1;
11A010414: Moldes;0,4;
11A010415: Rossas;0,3;
11A010416: Santa Eulália;0,6;
11A010417: São Miguel do Mato;0,6;
11A010418: Tropeço;0,5;
11A010421: União das freguesias de Arouca e Burgo;0,6;
11A010422: União das freguesias de Cabreiros e Albergaria da Serra;0,5;
11A010423: União das freguesias de Canelas e Espiunca;0,4;
11A010424: União das freguesias de Covelo de Paivó e Janarde;0,3;
11A010419: Urrô;0,4;
11A010420: Várzea;0,4;
11A0107: Espinho;0,7;
11A010702: Espinho;0;
11A010704: Paramos;1,1;
11A010705: Silvalde;0,4;
11A010706: União das freguesias de Anta e Guetim;0,9;
11A1304: Gondomar;0,9;
11A130412: Baguim do Monte (Rio Tinto);0,9;
11A130405: Lomba;0,7;
11A130408: Rio Tinto;1,1;
11A130413: União das freguesias de Fânzeres e São Pedro da Cova;1;
11A130414: União das freguesias de Foz do Sousa e Covelo;0,8;
11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;0,9;
11A130416: União das freguesias de Melres e Medas;0,6;
11A1306: Maia;1,6;
11A130601: Águas Santas;1,7;
11A130618: Castêlo da Maia;1,8;
11A130619: Cidade da Maia;0,8;
11A130603: Folgosa;1,5;
11A130608: Milheirós;1,3;
11A130609: Moreira;2,1;
11A130620: Nogueira e Silva Escura;1,7;
11A130617: Pedrouços;0,7;
11A130613: São Pedro Fins;1,8;
11A130616: Vila Nova da Telha;2;
11A1308: Matosinhos;1,7;
11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;1,6;
11A130812: União das freguesias de Matosinhos e Leça da Palmeira;0,4;
11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;2,1;
11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;0,9;
11A0113: Oliveira de Azeméis;1,1;
11A011301: Carregosa;1,1;
11A011302: Cesar;0,6;
11A011303: Fajões;0,8;
11A011304: Loureiro;1,4;
11A011305: Macieira de Sarnes;0,7;
11A011310: Ossela;0,8;
11A011315: São Martinho da Gândara;1,9;
11A011318: São Roque;0,8;
11A011320: União das freguesias de Nogueira do Cravo e Pindelo;0,8;
11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;0,9;
