
Statistical table extracted on October 11, 2022 (22:36:52)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;
;;Sex;;;;;
;;MF;;;;;
;;Age group;;;;;
;;Total;;;;;
;;Relationship;;;;;
;;Total;;;;;
;;Level of education;;;;;
;;Total;None;Basic;Secondary / post-secondary;Superior;
;;No. ;No. ;No. ;No. ;No. ;
;112031311: Coucieiro;108;10;54;18;26;
;112031313: Dossãos;66;10;42;10;4;
;112031316: Freiriz;99;17;57;19;6;
;112031317: Gême;37;4;22;4;7;
;112031323: Lage;104;15;59;22;8;
;112031324: Lanhas;67;11;36;12;8;
;112031325: Loureira;28;7;15;4;2;
;112031328: Moure;109;20;58;21;10;
;112031330: Oleiros;88;13;53;13;9;
;112031331: Parada de Gatim;68;9;50;9;- -;
;112031335: Pico;101;15;68;10;8;
;112031337: Ponte;53;6;31;9;7;
;112031350: Prado (São Miguel);126;15;91;12;8;
;112031340: Sabariz;29;11;13;1;4;
;112031352: Soutelo;124;10;68;19;27;
;112031354: Turiz;96;9;56;18;13;
;112031360: União das freguesias da Ribeira do Neiva;670;136;410;86;38;
;112031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago);112;7;79;20;6;
;112031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho);112;11;65;18;18;
;112031363: União das freguesias de Esqueiros, Nevogilde e Travassós;93;13;59;8;13;
;112031364: União das freguesias de Marrancos e Arcozelo;115;19;75;9;12;
;112031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel);94;19;60;13;2;
;112031366: União das freguesias de Pico de Regalados, Gondiães e Mós;169;28;95;30;16;
;112031367: União das freguesias de Sande, Vilarinho, Barros e Gomide;278;43;178;35;22;
;112031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho);108;8;75;23;2;
;112031369: União das freguesias do Vade;351;40;236;41;34;
;112031355: Valdreu;186;15;125;31;15;
;112031342: Vila de Prado;117;11;80;20;6;
;112031370: Vila Verde e Barbudo;141;20;83;17;21;
;119: Ave;17478;2167;11046;2375;1890;
;1190304: Cabeceiras de Basto;2430;314;1472;347;297;
;119030401: Abadim;153;12;90;24;27;
;119030404: Basto;81;3;52;18;8;
;119030405: Bucos;166;23;94;32;17;
;119030406: Cabeceiras de Basto;124;24;73;18;9;
;119030407: Cavez;342;45;205;36;56;
;119030408: Faia;91;17;55;5;14;
;119030413: Pedraça;165;25;93;26;21;
;119030415: Rio Douro;383;66;226;49;42;
;119030418: União das freguesias de Alvite e Passos;171;27;103;26;15;
;119030419: União das freguesias de Arco de Baúlhe e Vila Nune;217;19;136;39;23;
;119030420: União das freguesias de Gondiães e Vilar de Cunhas;166;16;116;20;14;
;119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;371;37;229;54;51;
;1190307: Fafe;2564;463;1580;275;246;
;119030705: Armil;47;4;24;9;10;
;119030726: Arões (Santa Cristina);30;5;20;- -;5;
;119030730: Arões (São Romão);79;15;40;12;12;
;119030708: Estorãos;80;16;51;6;7;
;119030709: Fafe;90;10;52;14;14;
;119030712: Fornelos;52;5;36;7;4;
;119030714: Golães;89;19;49;12;9;
;119030716: Medelo;40;6;17;8;9;
;119030719: Paços;70;15;36;16;3;
;119030722: Quinchães;154;21;113;15;5;
;119030723: Regadas;123;18;76;18;11;
;119030724: Revelhe;106;17;62;9;18;
