Statistical table extracted on October 18, 2022 (10:37:08);;;;
http://www.ine.pt;;;;
;;;;
;;;;
;;;;
Geographic localization (NUTS -2013);Average value of total standard output by hectare of utilised agricultural area (?/ ha) by Geographic localization (NUTS -2013) -  Decennial (1) ;;;
;Data reference period;;;
;2019;;;
;?/ ha ;;;
119031255: União das freguesias de Gondifelos, Cavalões e Outiz;9062,5;;;
119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;13312,5;;;
119031257: União das freguesias de Ruivães e Novais;13915,8;;;
119031258: União das freguesias de Seide;1980,9;;;
119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;6236,6;;;
119031260: União das freguesias de Vila Nova de Famalicão e Calendário;3804,2;;;
119031241: Vale (São Martinho);7151,4;;;
119031247: Vermoim;4687,3;;;
119031249: Vilarinho das Cambas;18613,7;;;
1190314: Vizela;5344,2;;;
119031404: Infias;5755,9;;;
119031401: Santa Eulália;3084,4;;;
