16J091235: União das freguesias de Tourais e Lajes;9;5;1295;77;20;24381;377;25;
16J091236: União das freguesias de Vide e Cabeça;- -;2;71;190;- -;239;178;257;
16J091225: Valezim;- -;- -;247;37;- -;117;82;25;
16J091228: Vila Cova à Coelheira;- -;2;441;16;1;72;25;9;
16J0913: Trancoso;1629;228;13241;1434;597;40272;2828;168;
16J091301: Aldeia Nova;9;9;1036;310;20;274;191;2;
16J091303: Castanheira;43;- -;288;31;11;80;59;- -;
16J091304: Cogula;- -;2;279;14;15;113;109;- -;
16J091305: Cótimos;4;3;283;- -;23;311;59;- -;
16J091307: Fiães;14;4;586;33;25;10135;100;6;
16J091309: Granja;148;12;853;13;24;172;32;- -;
16J091310: Guilheiro;44;4;323;12;8;119;82;- -;
16J091311: Moimentinha;12;8;88;55;9;140;67;- -;
16J091312: Moreira de Rei;40;34;139;36;70;488;350;36;
16J091313: Palhais;2;10;129;7;3;24155;39;2;
16J091314: Póvoa do Concelho;215;10;377;96;31;262;100;4;
16J091315: Reboleiro;21;1;73;- -;6;79;26;3;
16J091316: Rio de Mel;80;16;961;33;12;296;156;29;
16J091321: Tamanhos;25;11;455;51;27;165;108;- -;
16J091330: União das freguesias de Freches e Torres;44;8;1297;75;46;477;156;9;
16J091331: União das freguesias de Torre do Terrenho, Sebadelhe da Serra e Terrenho;47;5;1031;63;21;279;164;40;
16J091332: União das freguesias de Trancoso (São Pedro e Santa Maria) e Souto Maior;293;35;2700;114;76;899;335;15;
16J091333: União das freguesias de Vale do Seixo e Vila Garcia;63;8;395;153;61;501;241;2;
16J091334: União das freguesias de Vila Franca das Naves e Feital;213;13;404;44;28;374;207;- -;
16J091335: União das freguesias de Vilares e Carnicães;307;26;722;281;37;492;97;20;
16J091325: Valdujo;5;9;822;13;44;461;150;- -;
17: Área Metropolitana de Lisboa;43460;144882;61464;8764;2206;1169152;28985;873;
170: Área Metropolitana de Lisboa;43460;144882;61464;8764;2206;1169152;28985;873;
1701502: Alcochete;1329;4633;766;53;131;928;32;- -;
170150201: Alcochete;1329;4375;722;53;128;611;22;- -;
170150202: Samouco;- -;- -;- -;- -;3;17;6;- -;
170150203: São Francisco;- -;258;44;- -;- -;300;4;- -;
1701503: Almada;187;13;1069;363;62;1325;198;5;
170150303: Costa da Caparica;46;6;61;4;13;626;80;- -;
170150312: União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas;- -;- -;319;53;1;119;2;- -;
170150313: União das freguesias de Caparica e Trafaria;64;4;638;240;5;210;62;5;
170150314: União das freguesias de Charneca de Caparica e Sobreda;66;3;51;66;35;350;54;- -;
170150315: União das freguesias de Laranjeiro e Feijó;11;- -;- -;- -;8;20;- -;- -;
1701115: Amadora;- -;- -;185;89;7;180;- -;- -;
170111512: Alfragide;- -;- -;- -;- -;- -;- -;- -;- -;
170111513: Águas Livres;- -;- -;- -;- -;- -;- -;- -;- -;
170111514: Encosta do Sol;- -;- -;35;- -;- -;- -;- -;- -;
170111515: Falagueira-Venda Nova;- -;- -;100;- -;- -;- -;- -;- -;
170111516: Mina de Água;- -;- -;3;16;7;- -;- -;- -;
170111517: Venteira;- -;- -;47;73;- -;180;- -;- -;
1701504: Barreiro;193;16;377;95;5;666;50;- -;
170150407: Santo António da Charneca;13;15;204;8;2;474;50;- -;
170150409: União das freguesias de Alto do Seixalinho, Santo André e Verderena;180;- -;107;- -;3;170;- -;- -;
170150410: União das freguesias de Barreiro e Lavradio;- -;- -;- -;- -;- -;- -;- -;- -;
170150411: União das freguesias de Palhais e Coina;- -;1;66;87;- -;22;- -;- -;
1701105: Cascais;28;2;315;154;26;412;17;- -;
170110501: Alcabideche;23;2;113;125;26;277;- -;- -;
170110506: São Domingos de Rana;5;- -;185;19;- -;94;10;- -;
170110507: União das freguesias de Carcavelos e Parede;- -;- -;10;- -;- -;9;5;- -;
170110508: União das freguesias de Cascais e Estoril;- -;- -;7;10;- -;32;2;- -;
1701106: Lisboa;- -;2;29;56;6;- -;- -;- -;
170110601: Ajuda;- -;- -;- -;- -;- -;- -;- -;- -;
170110602: Alcântara;- -;- -;- -;- -;6;- -;- -;- -;
170110654: Alvalade;- -;- -;- -;- -;- -;- -;- -;- -;
170110655: Areeiro;- -;- -;- -;- -;- -;- -;- -;- -;
170110656: Arroios;- -;- -;- -;- -;- -;- -;- -;- -;
170110657: Avenidas Novas;- -;- -;- -;- -;- -;- -;- -;- -;
170110607: Beato;- -;- -;- -;- -;- -;- -;- -;- -;
170110658: Belém;- -;- -;- -;- -;- -;- -;- -;- -;
170110608: Benfica;- -;- -;- -;- -;- -;- -;- -;- -;
170110659: Campo de Ourique;- -;- -;- -;- -;- -;- -;- -;- -;
170110610: Campolide;- -;- -;- -;- -;- -;- -;- -;- -;
170110611: Carnide;- -;2;29;56;- -;- -;- -;- -;
170110660: Estrela;- -;- -;- -;- -;- -;- -;- -;- -;
170110618: Lumiar;- -;- -;- -;- -;- -;- -;- -;- -;
170110621: Marvila;- -;- -;- -;- -;- -;- -;- -;- -;
170110661: Misericórdia;- -;- -;- -;- -;- -;- -;- -;- -;
170110633: Olivais;- -;- -;- -;- -;- -;- -;- -;- -;
170110662: Parque das Nações;- -;- -;- -;- -;- -;- -;- -;- -;
170110663: Penha de França;- -;- -;- -;- -;- -;- -;- -;- -;
170110664: Santa Clara;- -;- -;- -;- -;- -;- -;- -;- -;
170110665: Santa Maria Maior;- -;- -;- -;- -;- -;- -;- -;- -;
170110666: Santo António;- -;- -;- -;- -;- -;- -;- -;- -;
170110639: São Domingos de Benfica;- -;- -;- -;- -;- -;- -;- -;- -;
170110667: São Vicente;- -;- -;- -;- -;- -;- -;- -;- -;
1701107: Loures;2340;110;4483;984;109;341428;441;116;
170110702: Bucelas;293;72;723;162;46;339512;238;- -;
170110705: Fanhões;61;- -;353;- -;- -;109;- -;- -;
170110707: Loures;221;- -;1473;692;15;761;33;12;
170110708: Lousa;68;21;666;62;2;418;104;- -;
170110731: União das freguesias de Camarate, Unhos e Apelação;- -;- -;57;40;7;331;24;52;
170110726: União das freguesias de Moscavide e Portela;- -;- -;- -;- -;- -;- -;- -;- -;
170110727: União das freguesias de Sacavém e Prior Velho;9;- -;- -;3;- -;- -;- -;- -;
170110728: União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela;2;- -;41;3;- -;66;- -;2;
170110729: União das freguesias de Santo Antão e São Julião do Tojal;1413;17;1095;19;39;193;22;50;
170110730: União das freguesias de Santo António dos Cavaleiros e Frielas;273;- -;75;3;- -;38;20;- -;
1701109: Mafra;8806;6614;8210;1227;242;727313;3756;92;
170110902: Carvoeira;2;15;126;- -;1;1274;148;- -;
170110904: Encarnação;992;1181;141;258;18;282602;510;- -;
170110906: Ericeira;83;12;25;- -;12;10758;61;- -;
170110909: Mafra;369;95;1085;100;12;290235;805;46;
170110911: Milharado;1328;524;2896;325;69;1828;577;40;
170110913: Santo Isidoro;812;380;162;8;15;136241;394;6;
170110918: União das freguesias de Azueira e Sobral da Abelheira;1489;130;405;130;22;297;78;- -;
170110919: União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário;1140;33;1728;148;35;809;249;- -;
170110920: União das freguesias de Igreja Nova e Cheleiros;158;40;263;99;4;1829;580;- -;
170110921: União das freguesias de Malveira e São Miguel de Alcainça;1692;7;309;9;28;364;90;- -;
170110922: União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés;741;4197;1070;150;26;1076;264;- -;
1701506: Moita;2241;1881;1317;316;133;5239;407;- -;
170150601: Alhos Vedros;902;18;459;28;32;1357;132;- -;
170150603: Moita;1207;1861;846;288;82;3615;248;- -;
170150607: União das freguesias de Baixa da Banheira e Vale da Amoreira;- -;- -;- -;- -;- -;10;- -;- -;
170150608: União das freguesias de Gaio-Rosário e Sarilhos Pequenos;132;2;12;- -;19;257;27;- -;
1701507: Montijo;6181;98987;9402;319;232;3860;197;11;
170150701: Canha;4693;83061;2930;30;79;667;18;11;
170150704: Sarilhos Grandes;1307;7775;850;12;7;836;93;- -;
170150709: União das freguesias de Atalaia e Alto Estanqueiro-Jardia;81;164;1997;175;90;1683;68;- -;
170150710: União das freguesias de Montijo e Afonsoeiro;- -;3;397;7;18;304;- -;- -;
170150711: União das freguesias de Pegões;100;7984;3228;95;38;370;18;- -;
1701116: Odivelas;142;44;1051;81;86;229;14;141;
170111603: Odivelas;26;- -;70;32;- -;- -;- -;54;
170111608: União das freguesias de Pontinha e Famões;16;41;194;12;78;68;13;2;
170111609: União das freguesias de Póvoa de Santo Adrião e Olival Basto;- -;- -;35;3;- -;50;- -;- -;
170111610: União das freguesias de Ramada e Caneças;100;3;752;34;8;111;1;85;
1701110: Oeiras;- -;- -;38;- -;10;27;- -;- -;
170111002: Barcarena;- -;- -;37;- -;10;- -;- -;- -;
170111009: Porto Salvo;- -;- -;- -;- -;- -;17;- -;- -;
170111012: União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo;- -;- -;- -;- -;- -;- -;- -;- -;
170111013: União das freguesias de Carnaxide e Queijas;- -;- -;- -;- -;- -;- -;- -;- -;
170111014: União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias;- -;- -;1;- -;- -;10;- -;- -;
1701508: Palmela;15366;32213;19799;1623;420;21338;19819;83;
170150802: Palmela;2284;468;4269;732;70;6740;367;20;
170150803: Pinhal Novo;2813;2239;3981;240;65;4442;237;30;
170150804: Quinta do Anjo;1030;3582;4756;216;9;516;87;- -;
170150806: União das freguesias de Poceirão e Marateca;9239;25924;6793;435;276;9640;19128;33;
1701510: Seixal;68;14;536;273;1;235;78;- -;
170151002: Amora;37;3;245;11;1;103;38;- -;
170151005: Corroios;- -;- -;- -;- -;- -;- -;- -;- -;
170151006: Fernão Ferro;- -;11;199;256;- -;77;40;- -;
170151007: União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires;31;- -;92;6;- -;55;- -;- -;
1701511: Sesimbra;211;37;1431;601;52;1161;154;126;
170151103: Quinta do Conde;- -;- -;- -;- -;- -;38;8;- -;
170151101: Sesimbra (Castelo);211;37;1431;601;52;1123;146;126;
170151102: Sesimbra (Santiago);- -;- -;- -;- -;- -;- -;- -;- -;
1701512: Setúbal;567;43;5165;1220;232;12937;184;139;
170151207: Gâmbia-Pontes-Alto da Guerra;507;12;1963;137;31;904;23;8;
170151208: Sado;- -;23;107;93;1;481;8;- -;
170151205: Setúbal (São Sebastião);51;- -;161;428;- -;10164;5;- -;
170151209: União das freguesias de Azeitão (São Lourenço e São Simão);6;7;1880;539;196;1008;83;21;
170151210: União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça);3;1;1054;23;4;380;65;110;
1701111: Sintra;1730;247;4235;922;162;46343;3069;78;
170111102: Algueirão-Mem Martins;30;5;105;26;10;85;14;3;
170111115: Casal de Cambra;1;- -;111;53;4;19;- -;- -;
170111105: Colares;- -;4;150;18;3;247;124;- -;
170111108: Rio de Mouro;11;27;250;75;15;214;17;20;
170111122: União das freguesias de Agualva e Mira-Sintra;- -;- -;18;3;- -;11;- -;- -;
170111123: União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar;1387;50;1204;383;60;1464;181;2;
170111125: União das freguesias de Massamá e Monte Abraão;- -;- -;- -;- -;- -;- -;- -;- -;
170111126: União das freguesias de Queluz e Belas;- -;39;83;60;10;105;13;- -;
170111127: União das freguesias de São João das Lampas e Terrugem;277;114;1487;45;24;43970;2648;53;
170111128: União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim);23;8;765;258;34;207;72;- -;
170111124: União das freguesias do Cacém e São Marcos;1;- -;62;1;2;21;- -;- -;
1701114: Vila Franca de Xira;4071;26;3056;388;290;5531;569;82;
170111412: União das freguesias de Alhandra, São João dos Montes e Calhandriz;- -;8;698;298;10;1408;384;82;
170111413: União das freguesias de Alverca do Ribatejo e Sobralinho;116;2;216;10;41;406;51;- -;
170111414: União das freguesias de Castanheira do Ribatejo e Cachoeiras;373;2;226;39;9;2906;19;- -;
170111415: União das freguesias de Póvoa de Santa Iria e Forte da Casa;- -;- -;- -;5;- -;57;- -;- -;
170111408: Vialonga;3;4;1557;7;4;88;54;- -;
170111409: Vila Franca de Xira;3579;10;359;29;226;666;61;- -;
18: Alentejo;614463;848395;1136480;114007;12561;3539974;29610;41621;
181: Alentejo Litoral;80811;106121;127654;12065;1289;48090;2416;7046;
1811501: Alcácer do Sal;27144;7489;26584;683;259;3102;89;552;
181150106: Comporta;287;- -;12;4;- -;29;- -;60;
181150105: São Martinho;362;2;443;- -;- -;40;- -;221;
181150104: Torrão;11156;6804;13002;218;18;1100;3;2;
181150107: União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana;15339;683;13127;461;241;1933;86;269;
1811505: Grândola;6837;52180;27738;1009;103;9422;343;1544;
181150501: Azinheira dos Barros e São Mamede do Sádão;2453;3438;6677;90;17;295;5;2;
181150505: Carvalhal;22;76;- -;- -;2;102;- -;- -;
181150503: Melides;504;57;2326;151;29;1597;98;50;
181150506: União das freguesias de Grândola e Santa Margarida da Serra;3858;48609;18735;768;55;7428;240;1492;
1810211: Odemira;24982;7653;31448;7042;550;19787;708;3548;
181021116: Boavista dos Pinheiros;388;113;203;410;34;504;35;12;
181021118: Colos;1971;1211;3659;106;23;1429;17;12;
181021117: Longueira/Almograve;5352;154;326;46;22;871;62;- -;
181021115: Luzianes-Gare;395;231;1568;44;2;599;7;32;
181021102: Relíquias;1033;217;1178;1144;26;1304;61;30;
181021103: Sabóia;870;681;2876;936;29;2250;66;273;
181021119: Santa Clara-a-Velha;302;222;1058;67;12;1314;8;163;
181021106: São Luís;1997;173;4214;535;20;1440;127;52;
181021107: São Martinho das Amoreiras;397;484;3132;811;46;1389;19;78;
181021120: São Salvador e Santa Maria;1716;277;3128;1686;38;1470;12;600;
181021121: São Teotónio;7326;673;1720;471;183;4147;142;1290;
181021122: Vale de Santiago;1365;2773;4919;59;67;473;2;- -;
181021111: Vila Nova de Milfontes;947;232;751;628;43;2016;142;1;
1811509: Santiago do Cacém;19818;38615;34166;2258;284;12342;924;912;
181150901: Abela;1933;23976;7563;402;48;493;10;10;
181150902: Alvalade;6360;263;2744;50;12;782;7;- -;
181150903: Cercal;4805;439;3740;366;79;2351;267;1;
181150904: Ermidas-Sado;1721;619;1851;238;8;357;- -;- -;
181150907: Santo André;413;371;191;24;4;1284;101;1;
181150910: São Francisco da Serra;19;3593;1952;201;2;709;137;296;
181150912: União das freguesias de Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra;1102;5502;9392;613;118;4207;302;604;
181150913: União das freguesias de São Domingos e Vale de Água;3465;3852;6733;364;13;2159;100;- -;
1811513: Sines;2030;184;7718;1073;93;3437;352;490;
181151302: Porto Covo;933;61;4385;47;52;1200;102;- -;
181151301: Sines;1097;123;3333;1026;41;2237;250;490;
184: Baixo Alentejo;124184;101072;401464;34485;3024;88415;458;15991;
1840201: Aljustrel;8080;1679;17412;1167;186;3016;83;116;
184020102: Ervidel;241;150;715;66;8;349;30;- -;
184020103: Messejana;3034;891;7344;476;20;971;1;16;
184020104: São João de Negrilhos;1662;38;1436;491;5;487;- -;- -;
184020106: União das freguesias de Aljustrel e Rio de Moinhos;3143;600;7917;134;153;1209;52;100;
1840202: Almodôvar;4874;5574;37607;4014;137;6239;124;6522;
184020208: Aldeia dos Fernandes;82;2;406;22;4;56;- -;40;
184020203: Rosário;652;1428;4329;78;7;63;- -;- -;
184020205: Santa Cruz;378;758;6088;910;17;763;44;60;
184020206: São Barnabé;128;439;395;450;3;740;28;2828;
184020209: União das freguesias de Almodôvar e Graça dos Padrões;2615;1931;14176;1156;71;2635;36;2634;
184020210: União das freguesias de Santa Clara-a-Nova e Gomes Aires;1019;1016;12213;1398;35;1982;16;960;
1840203: Alvito;11636;260;11692;125;81;900;- -;- -;
184020301: Alvito;7051;106;6107;8;63;421;- -;- -;
184020302: Vila Nova da Baronia;4585;154;5585;117;18;479;- -;- -;
1840204: Barrancos;5239;3824;3421;586;82;455;3;25;
184020401: Barrancos;5239;3824;3421;586;82;455;3;25;
1840205: Beja;15805;7296;32276;4971;441;3780;51;236;
184020502: Baleizão;2879;2709;2896;12;49;137;- -;- -;
184020503: Beringel;- -;- -;290;- -;3;- -;- -;- -;
184020504: Cabeça Gorda;1854;215;2474;591;25;125;- -;- -;
184020506: Nossa Senhora das Neves;457;363;2728;267;31;1324;6;- -;
184020510: Santa Clara de Louredo;895;671;380;- -;15;- -;- -;- -;
184020516: São Matias;1692;607;1723;21;6;254;- -;- -;
184020519: União das freguesias de Albernoa e Trindade;4092;962;7786;733;74;371;- -;200;
184020520: União das freguesias de Beja (Salvador e Santa Maria da Feira);308;227;2257;197;37;687;40;- -;
184020521: União das freguesias de Beja (Santiago Maior e São João Baptista);40;25;1065;138;- -;353;- -;- -;
184020522: União das freguesias de Salvada e Quintos;2425;1514;7386;2151;103;288;2;11;
184020523: União das freguesias de Santa Vitória e Mombeja;766;3;2267;695;64;241;3;- -;
184020524: União das freguesias de Trigaches e São Brissos;397;- -;1024;166;34;- -;- -;25;
1840206: Castro Verde;10455;2545;32280;1203;169;2777;9;630;
184020603: Entradas;1742;442;3304;51;- -;35;- -;217;
184020604: Santa Bárbara de Padrões;1000;30;3697;251;11;283;- -;- -;
184020605: São Marcos da Ataboeira;2275;375;7235;124;24;172;- -;14;
184020606: União das freguesias de Castro Verde e Casével;5438;1698;18044;777;134;2287;9;399;
1840207: Cuba;4363;19499;7341;1203;91;17939;15;6;
184020701: Cuba;3023;13903;4526;1164;47;17507;- -;- -;
184020702: Faro do Alentejo;251;5585;534;- -;- -;112;- -;- -;
184020703: Vila Alva;997;8;1164;7;4;78;- -;6;
184020704: Vila Ruiva;92;3;1117;32;40;242;15;- -;
1840208: Ferreira do Alentejo;9711;14079;22404;422;325;1527;2;80;
184020803: Figueira dos Cavaleiros;3179;4749;6850;192;243;764;- -;- -;
184020804: Odivelas;2163;127;1476;41;34;239;- -;- -;
184020807: União das freguesias de Alfundão e Peroguarda;611;8669;4241;75;9;359;2;80;
184020808: União das freguesias de Ferreira do Alentejo e Canhestros;3758;534;9837;114;39;165;- -;- -;
1840209: Mértola;8054;8434;85752;6743;118;8129;49;4906;
184020901: Alcaria Ruiva;2626;5026;23590;2234;10;1787;9;227;
184020902: Corte do Pinto;820;945;4854;1427;16;861;- -;387;
184020903: Espírito Santo;895;11;3085;147;3;608;- -;489;
184020904: Mértola;866;449;21152;445;56;940;- -;1746;
184020905: Santana de Cambas;1899;1012;13416;1259;17;1502;29;523;
184020906: São João dos Caldeireiros;161;211;7336;168;2;429;8;236;
184020910: União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros;787;780;12319;1063;14;2002;3;1298;
1840210: Moura;19631;6704;24442;5671;449;24678;10;1964;
184021001: Amareleja;1405;60;2712;942;90;551;- -;- -;
184021002: Póvoa de São Miguel;3549;1286;7555;416;36;20740;2;- -;
184021008: Sobral da Adiça;4321;391;3049;771;114;577;- -;4;
184021009: União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador;5865;984;7193;618;123;1461;8;1090;
184021010: União das freguesias de Safara e Santo Aleixo da Restauração;4491;3983;3933;2924;86;1349;- -;870;
1840212: Ourique;7762;23209;41360;2661;398;4495;79;952;
184021203: Ourique;3561;8978;23876;956;257;1533;17;- -;
184021206: Santana da Serra;328;570;4587;1015;68;1643;59;936;
184021207: União das freguesias de Garvão e Santa Luzia;867;2876;4927;438;24;588;- -;16;
184021208: União das freguesias de Panoias e Conceição;3006;10785;7970;252;49;731;3;- -;
1840213: Serpa;15140;7404;73596;3987;460;13894;33;548;
184021302: Brinches;1763;689;4091;18;27;- -;- -;- -;
184021303: Pias;1119;64;10270;39;27;161;- -;- -;
184021308: União das freguesias de Serpa (Salvador e Santa Maria);7440;3798;24468;1860;139;8585;- -;43;
184021309: União das freguesias de Vila Nova de São Bento e Vale de Vargo;3180;1577;28167;792;92;2817;3;101;
184021307: Vila Verde de Ficalho;1638;1276;6600;1278;175;2331;30;404;
1840214: Vidigueira;3434;565;11881;1732;87;586;- -;6;
184021401: Pedrógão;1655;122;4074;264;10;112;- -;- -;
184021402: Selmes;1209;426;6736;1018;63;155;- -;- -;
184021403: Vidigueira;500;6;459;14;11;185;- -;- -;
184021404: Vila de Frades;70;11;612;436;3;134;- -;6;
185: Lezíria do Tejo;59073;374603;46059;14852;2971;2976718;5615;1860;
1851403: Almeirim;436;40;614;101;51;10630;352;273;
185140301: Almeirim;208;14;40;- -;49;598;48;54;
185140302: Benfica do Ribatejo;- -;3;94;15;- -;8305;44;70;
185140303: Fazendas de Almeirim;64;23;458;86;- -;1485;250;146;
185140304: Raposa;164;- -;22;- -;2;242;10;3;
1851404: Alpiarça;361;4;508;217;84;1112;186;117;
185140401: Alpiarça;361;4;508;217;84;1112;186;117;
1851103: Azambuja;3053;17718;2529;1204;268;150472;474;83;
185110301: Alcoentre;395;4137;164;247;16;700;177;- -;
185110302: Aveiras de Baixo;335;15;749;216;26;50602;25;2;
185110303: Aveiras de Cima;69;594;314;240;25;10199;101;40;
185110304: Azambuja;1532;9102;1001;260;156;88270;113;41;
185110310: União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa;641;3824;247;239;8;160;24;- -;
185110306: Vale do Paraíso;77;46;29;- -;29;418;34;- -;
185110307: Vila Nova da Rainha;4;- -;25;2;8;123;- -;- -;
1851405: Benavente;18535;91527;2618;2146;855;146006;73;4;
185140504: Barrosa;553;- -;57;- -;1;- -;- -;- -;
185140501: Benavente;5092;54244;654;2060;248;576;13;3;
185140502: Samora Correia;12057;37278;1671;9;560;144867;38;1;
185140503: Santo Estêvão;833;5;236;77;46;563;22;- -;
1851406: Cartaxo;2124;132680;984;254;127;112000;183;30;
185140604: Pontével;1864;1449;202;81;16;10541;52;24;
185140610: União das freguesias de Ereira e Lapa;22;2843;228;61;37;239;46;6;
185140609: União das freguesias do Cartaxo e Vale da Pinta;53;17164;285;94;24;100677;33;- -;
185140605: Valada;22;1;20;1;21;5;1;- -;
185140608: Vale da Pedra;158;4;171;11;7;313;21;- -;
185140607: Vila Chã de Ourique;5;111219;78;6;22;225;30;- -;
1851407: Chamusca;6431;21;13011;668;229;1058;202;317;
185140707: Carregueira;693;9;2417;31;12;460;122;115;
185140704: Ulme;7;- -;2066;10;23;28;7;- -;
185140708: União das freguesias da Chamusca e Pinheiro Grande;395;6;407;426;55;275;46;2;
185140709: União das freguesias de Parreira e Chouto;2358;- -;3771;201;119;234;27;200;
185140705: Vale de Cavalos;2978;6;4350;- -;20;61;- -;- -;
1851409: Coruche;15253;14158;9938;2555;529;7017;655;161;
185140907: Biscainho;2124;- -;9;- -;51;104;27;6;
185140905: Branca;535;8026;489;143;102;1553;250;47;
185140902: Couço;3916;361;2788;274;154;718;18;13;
185140908: Santana do Mato;700;218;1248;189;37;617;9;9;
185140903: São José da Lamarosa;1991;20;1697;225;29;1378;138;9;
185140909: União das freguesias de Coruche, Fajarda e Erra;5987;5533;3707;1724;156;2647;213;77;
1851412: Golegã;141;54;423;41;84;604;105;5;
185141201: Azinhaga;2;54;130;3;37;296;93;- -;
185141202: Golegã;139;- -;281;- -;47;292;- -;5;
185141203: Pombalinho;- -;- -;12;38;- -;16;12;- -;
1851414: Rio Maior;2348;47331;4414;2718;274;1588701;709;42;
185141401: Alcobertas;15;7466;357;824;- -;326552;- -;31;
185141402: Arrouquelas;428;2506;165;8;106;169285;37;- -;
185141410: Asseiceira;98;2427;59;7;10;27153;45;- -;
185141405: Fráguas;35;4233;360;309;4;279454;44;- -;
185141408: Rio Maior;529;8890;1985;783;56;425581;416;5;
185141411: São Sebastião;- -;1333;103;46;4;36056;3;- -;
185141415: União das freguesias de Azambujeira e Malaqueijo;311;4844;248;168;2;85547;60;6;
185141416: União das freguesias de Marmeleira e Assentiz;325;11987;470;85;7;130;16;- -;
185141417: União das freguesias de Outeiro da Cortiçada e Arruda dos Pisões;188;2599;237;157;7;43309;68;- -;
185141418: União das freguesias de São João da Ribeira e Ribeira de São João;419;1046;430;331;78;195634;20;- -;
1851415: Salvaterra de Magos;3100;8395;1034;192;231;67863;174;30;
185141502: Marinhais;630;4000;188;36;32;702;64;- -;
185141503: Muge;1226;- -;- -;- -;70;16;- -;- -;
185141507: União das freguesias de Glória do Ribatejo e Granho;280;4370;411;115;2;182;10;- -;
185141508: União das freguesias de Salvaterra de Magos e Foros de Salvaterra;964;25;435;41;127;66963;100;30;
1851416: Santarém;7291;62675;9986;4756;239;891255;2502;798;
185141601: Abitureiras;289;- -;599;1694;13;59119;15;2;
185141602: Abrã;40;7;314;159;9;376;110;56;
185141604: Alcanede;778;7025;1293;787;5;333466;196;52;
185141605: Alcanhões;765;2157;404;7;15;279;54;1;
185141606: Almoster;265;44655;142;210;20;19580;9;- -;
185141607: Amiais de Baixo;- -;- -;- -;- -;- -;10;3;- -;
185141608: Arneiro das Milhariças;- -;222;185;2;1;200;17;- -;
185141628: Gançaria;107;671;70;70;1;5515;- -;8;
185141613: Moçarria;46;200;167;- -;- -;310;69;2;
185141614: Pernes;112;5;1450;452;8;193609;1;540;
185141616: Póvoa da Isenta;369;1912;189;81;11;18492;41;13;
185141629: União das freguesias de Achete, Azoia de Baixo e Póvoa de Santarém;91;5;466;15;24;104404;1290;1;
185141630: União das freguesias de Azoia de Cima e Tremês;115;15;1013;182;3;20457;211;32;
185141631: União das freguesias de Casével e Vaqueiros;32;16;1136;449;14;60635;101;10;
185141632: União das freguesias de Romeira e Várzea;276;1618;775;16;2;32600;223;12;
185141633: União de freguesias da cidade de Santarém;53;38;519;486;42;395;13;60;
185141634: União das freguesias de São Vicente do Paul e Vale de Figueira;3655;3814;984;92;66;1308;149;9;
185141625: Vale de Santarém;298;315;280;54;5;40500;- -;- -;
186: Alto Alentejo;145737;24187;248066;24543;2453;31709;17824;7005;
1861201: Alter do Chão;12200;316;20142;974;655;1174;64;41;
186120101: Alter do Chão;4922;71;8439;325;544;686;60;38;
186120102: Chancelaria;2524;152;3147;461;10;169;- -;3;
186120104: Cunheira;967;3;1056;181;25;142;4;- -;
186120103: Seda;3787;90;7500;7;76;177;- -;- -;
1861202: Arronches;12096;3017;13190;1436;100;169;- -;49;
186120201: Assunção;9503;231;7348;146;68;51;- -;49;
186120202: Esperança;997;2190;4031;1126;16;56;- -;- -;
186120203: Mosteiros;1596;596;1811;164;16;62;- -;- -;
1861203: Avis;11891;4808;31300;779;92;395;18;148;
186120302: Aldeia Velha;660;9;8665;460;- -;36;- -;- -;
186120303: Avis;1431;728;5416;79;- -;34;- -;93;
186120305: Ervedal;820;- -;4437;122;71;101;- -;- -;
186120306: Figueira e Barros;1892;2800;3583;- -;12;- -;- -;- -;
186120309: União das freguesias de Alcórrego e Maranhão;2779;271;3738;71;8;75;10;52;
186120310: União das freguesias de Benavila e Valongo;4309;1000;5461;47;1;149;8;3;
1861204: Campo Maior;6923;236;3573;35;49;101;12;- -;
186120401: Nossa Senhora da Expectação;1736;4;1520;4;17;66;12;- -;
186120402: Nossa Senhora da Graça dos Degolados;1013;230;1148;21;6;- -;- -;- -;
186120403: São João Baptista;4174;2;905;10;26;35;- -;- -;
1861205: Castelo de Vide;6640;34;7579;1308;29;859;59;11;
186120501: Nossa Senhora da Graça de Póvoa e Meadas;1171;7;2330;466;16;147;3;- -;
186120502: Santa Maria da Devesa;816;13;1585;341;1;408;47;2;
186120503: Santiago Maior;1793;9;1628;205;4;122;- -;9;
186120504: São João Baptista;2860;5;2036;296;8;182;9;- -;
1861206: Crato;12641;3476;12457;1744;66;638;166;106;
